,x,y,len
381,aidffhbehegeficicbbdcfbhgbbbeb,0,30
382,cbgihdacfcdhagififaiehdgbiibeb,4,30
383,chbdbfcegbcefbhigfidegbbhgifec,3,30
384,hihidefhifdhbaeefbcdhihcccddei,1,30
386,icdhdeidgiefhfbcddhhheggggbfge,1,30
387,daffbfgcbagehgifhchcddfhbecfai,4,30
388,eidgfdhhegbbaecdcefdhfdfffegdb,3,30
390,fbidecaibbbcdhfgbcdfaidcbcgehg,4,30
391,bgbfaidacficcgicdagcghefaidbbe,4,30
392,fgeeaggddeedfiedchddhafeeddcef,3,30
393,eiebeccigecadbgcdachehdhdefbdd,2,30
394,ddigbfhccaidgacbgbgghicihbeecc,0,30
395,didaceffcacbeghecdhbbgibfaihbb,4,30
396,aahgbabddeiebcdadgaidaaibcbefg,0,30
397,aiddgbbggbbgifbeggfgedigehdfhd,0,30
398,bhgeidebaceffeggheigffdgdedcge,3,30
399,edgcieebeecdgcehhhbgcdidehbddf,2,30
400,fdiibfbdiiidhidbeggfcdhcgceeie,2,30
401,iadcehbcefcihhhhcgbdbicddiihdf,3,30
402,hihifcidbebfceffbbhbbbffhhhdec,3,30
403,beahfeahfaadbbffhfbfbcdhfhcccf,1,30
404,agcbeehhfggaidgadbcgihehdcebii,0,30
405,cbdchcddcfcceegfeigbfdiccgfdgd,2,30
406,cdecegdccicfdhhbhgeceiebfdgbeg,2,30
407,hiaciiagghggffeahcefhicgbbdeii,3,30
408,dhfddfcfcdcacchifaiedddcgbdfbf,4,30
409,cdgeafgdfaiecgbcifhheefecffddf,4,30
410,bgegiddbfbcdfihiegfhciebeccbdd,1,30
411,diighabdciafcafifeagdiciehccef,3,30
412,dhccdiabddecfhagigbchcdecfgiec,2,30
413,gdgeadaibedgadbfhcfbfibbcddhhd,1,30
414,faagfcbecacefeicbdbdbcgihddghf,3,30
415,bcdgehihfbgebdeiccdeddeciehffb,1,30
416,bhcbfccdccggebdfchgggdcieffheb,2,30
417,bdcdagdbdaidgafbfecbdhegeghbdd,0,30
418,bbiffgcdfbdfibhgcciaigbcdfahce,1,30
419,ehedgdcdgddgaefaighdggbfcdgfih,4,30
420,hadiiaghbeaicigahbdfdbdabcdbah,1,30
422,ahbgeaacigacidddihdibcddahbbff,1,30
423,ifgiihhdfiddfeghfcfbhgaiegbcef,3,30
424,gddbgcdifaihfhhfhhhafabcdgbhhg,1,30
425,ghedidcgcdggdccbfaibicdffihhgi,4,30
426,fbadcddahaecfaibehifhigdgeiiib,4,30
427,adehigbfddaiaabcdaahfefeegbhcc,1,30
428,geaidigcbdecgcgigcfgfdeehehdig,0,30
429,ifddbaghgdicbeigbcdgehgdgcdfec,1,30
430,dgagdbebegddaifchbggigeieidcef,3,30
431,dhciebhdhebheehhcefhhifcccihed,3,30
432,dgbidhibihhebhbcdfcdiihhehiibb,2,30
433,ebhccadaidifebhibbbfefgeghhecf,0,30
434,hieideggfeghdccbgecdehcbggfaig,4,30
435,ciachfaecdciidehfaidhehhdccggi,4,30
436,eadiafadhbiahebcccdicficgefbic,2,30
437,decaeggibbchececefcchefbdiibfd,3,30
438,bhbcdaehhbdgdhfcheebbgighfceeh,1,30
439,aceghcefdbefhbdhgeeciciiefdchg,3,30
440,gadbbbfahcbfiigdfieaidgfgbebgg,0,30
441,bbfabchcbcdeahhgeedgeidhefdgbf,1,30
442,eaffdceadaaacbecdeccebcddeecde,2,30
443,fbigfgegcaidifcbgfieebbieeiebd,0,30
445,cgfdgiaggfaiecgdfiaidfhcbbbcfi,0,30
446,ffgfefefaiddcfbbfbebiigbbbceic,0,30
447,idcahdiefbcdfaaagbfaieidhigbgd,4,30
448,ddbgaaehagahidaidfagbeifeibibh,0,30
449,gcacdccieebdcdcfefhgeeiddiigfh,2,30
450,ccddbbbiecficbgecbdcddcfiibfhb,2,30
451,ghiaehdicecdhidfdbhbcdgahbbbib,1,30
452,aiddcfiiebeigieegcdabficgfaide,4,30
454,hbedgdafbbhgfiehacefdcefehbeig,3,30
456,bdcbchhbeiacefbcifddceebhciedi,3,30
457,figiehfehibebcbicdgcgceiebbbhe,2,30
458,fgigiieiffhhhfadhcfdggbeibcefg,3,30
459,cchggdhcdehebgifaihbfedibibgfg,4,30
460,baighiffdbcdgceiibbbdfhhdfhfcc,2,30
461,bcdheccicbagiggeagbcddhhdhcbgi,1,30
462,cdhccefgbgehfdeibbehcdfcgiiicf,2,30
463,icfgiidacdbghgbidgabbcdeahdeeb,1,30
464,iaaheggccigahgfabiiaidbhibiice,0,30
465,ggdeaidgddbchdcbceihigddhhgegf,0,30
466,iffhfieehcbcddehbgcifdibibfgdc,1,30
467,cdgcihhcdceggfddhbgbffebifieib,2,30
468,bedhfibddidiebfcefhegheeefibdb,3,30
469,cdfadcgbcdbcfegegiegibggifeidh,2,30
470,ecdfecdihfaighfdbcdiicedefdicb,4,30
471,feichifihbcdfebdihfaigdgedibig,4,30
472,hiddcbdaidgahgiaidcaabeifhcbfd,0,30
473,dgfefdacdfcgigfhgigfgffihihebh,2,30
474,ifdghbgahfdabcdbfhchheicebchdh,1,30
475,afieeghhibgfabafaidahhbbfeebcg,0,30
476,dahcddcegbdhfgddhegffdihgcifbb,2,30
477,dcfeahdafedffaabhgigcgabcdbahf,1,30
478,ihadgieabcefhbeheffbbffccdifdh,3,30
479,hagcbcadacdagcgggaidhahbeeiedh,0,30
480,bfehfbehedeibcefgceehbebhdddid,3,30
481,ieeigfcidbfcbcdfiafdidaidibibi,0,30
482,cdfgagfafaicebhegieiiifddcdcfe,4,30
483,ififdcieeacdfcibhefcccbihfddib,2,30
484,bdfddaieiceieffegacefhegdhddhg,3,30
485,ghicgbebhcdgacdebfaiefibghhcde,4,30
486,ebghfeeibaidbghgfbcdghhebgfbdi,1,30
487,fdahhbibgcdhaefbbeebhefcdgcchg,2,30
488,feefafddbabcdhicaiefaiggbbbhig,4,30
489,aebihabagdaidhbbbecgcfcfibbhcc,0,30
490,fdcdfffafafaibdeibcichgdgbgfdc,4,30
491,dibccddideaghccdfciibcceegdgii,2,30
